text,catagory,url,id
NORBO實木貼皮壁掛式折疊桌樺木產品資訊不用時可摺疊收納節省空間耐用的天然實木材質經測試桌面可抗液體食物殘渣油高溫和碰撞桌子結構穩固經久耐用適合日常使用請用抹布沾溫和清潔劑擦拭乾淨用乾布擦拭你要知道顧客利益可坐兩人壁式折疊桌可節省地板空間適用於空間有限的情況吃飯時拉起活動翻板不用時可放下節省空間可依你的需求決定桌子的安裝高度通常座椅與桌面的距離為30公分搭配一般椅子或吧台椅可坐兩人可提供2人座位建議僅於室內使用可固定在高度74公分的牆上當作餐桌使用可固定在高度95公分或106公分的牆上搭配適合的吧台椅不同材質的牆壁須搭配不同的上牆配件可選用FIXA系列的螺絲壁虎或碇泊螺絲來處理木質水泥或石膏牆環境產品材質可回收利用請依照當地規定處理nIKEA對於製作產品的木頭來源有明確的標準規範包含禁止使用非法砍伐或來自天然原始林的木頭在2020年年底前我們決定完全使用來自有森林管理認證林場的木頭或可回收材料n可再生材質木材n設計師IKEAofSweden,壁掛式折疊桌,https://www.ikea.com.tw/zh/products/dining-tables/tables/norbo-art-00162097,001.620.97
BERNHARD白色米色餐椅鍍鉻mjuk深棕色產品資訊鍍鉻底框搭配耐用皮革製的柔軟椅墊讓你坐得舒適也容易保養常保美觀座椅具有彈性讓你坐得更舒適座椅含填料增添舒適感外覆柔軟耐磨又容易保養的皮革隨時間更添風雅以吸塵器清理避免直接曝曬在陽光下以免乾燥的情形發生可用溫和清潔劑擦拭乾淨請依照需求重新鎖緊螺絲確保產品維持最佳狀態用乾淨的布擦乾你要知道顧客利益跟著感覺走新的椅子可改變整體的房間風格IKEA有多種風格供您選擇如典雅的木質椅子附椅套的椅子高背椅及圓弧椅背的椅子還有可堆疊的椅子和折疊椅您可以試坐選擇適合的椅子享受春日時光當你沉浸在春日宜人的陽光下BERNHARD餐椅有可支撐你身體的高回彈PU泡棉舒適坐墊及提供你腰部支撐的圓形靠背因此你可以輕鬆慵懶地坐著享受你的餐點或是跟朋友喝茶聊天經測試適合居家使用符合耐用度和安全性標準環境自2015年以來IKEA使用的皮革牛皮和羊皮皆不添加鉻鉻在產品製作過程中會產生毒素對人體和環境造成傷害因此我們在皮革處理過程中使用替代物質n設計師OlaWihlborg,餐椅,https://www.ikea.com.tw/zh/products/dining-seating/chairs-incl-covers-folding-chairs/bernhard-art-00163803,001.638.03
IKEAPS2012實木貼皮折疊桌竹白色產品資訊竹製桌面十分耐用外型小巧美觀即使空間有限也易於搭配其他家具經測試桌面可抗液體食物殘渣油高溫和碰撞桌子結構穩固經久耐用適合日常使用請用濕布擦拭乾淨用乾淨的布擦乾你要知道顧客利益隨時增加需要的空間可延伸餐桌適用於晚餐派對及假日IKEA的可延伸餐桌附有延伸面板不用時可收在桌面底下相當實用如果你不想遇到延伸面板鬆動的情況可選用附活動翻板的折疊桌不用時可放下桌面家人或朋友來訪時可展開桌面增加座位空間離開後即可放下桌面騰出更多空間設計師JonKarlsson以柚木等硬木材製成的實用家具是1950年常見的現代風格家具我想找一種設計方式既能符合1950年的家具風格又可以使用更環保的材質來製作家具竹子的生長快速經過層壓處理就會變得非常堅硬耐用而且用竹子做成的家具所呈現的風格質感近似柚木家具因此我選用竹子製作家具設計出具有1950年家具風格的IKEAPS2012餐桌天然耐用兼具創意我們選用生長快速堅韌耐用的竹子搭配鋁質桌腳來製作IKEAPS2012折疊桌桌子和桌腳可拆開回收處理方便又符合規定竹子是一種耐用又穩固的硬木具有相同紋路可防潮防刮竹子的天然色彩近似於櫸木可坐24個人建議僅於室內使用環境可再生材質竹子n如果當地機構提供相關服務可進行分類以供回收利用n設計師JonKarlsson,折疊桌,https://www.ikea.com.tw/zh/products/dining-tables/tables/ikea-ps-2012-art-00206807,002.068.07
VITTSJ黑色咖啡桌黑棕色玻璃產品資訊強化玻璃桌面可抗污容易清潔層板一面是黑棕色另一面是黑色可依喜好安裝搭配附可調式桌腳即使地板不平也能穩固放置請用濕布擦拭乾淨用乾淨的布擦乾定期檢查組裝配件是否牢固必要時請重新鎖緊你要知道顧客利益設計師JohanKroon我認為喜歡的東西和收藏品都應該妥善的收納在儲物櫃內並大方的展示與別人分享自己的收藏因此我在設計VITTSJ系列時更進一步考慮到產品的製作我選用可以清楚的展示書籍花瓶和其他收藏品的材質來製作產品金屬框架呈現出簡單又俐落的線條賦予家具典雅的設計風格也適合在收藏品的周圍擺放獨特的相框增添裝飾變化搭配玻璃層板能創造輕巧雅致的質感我很滿意VITTSJ系列的設計適合搭配任何居家風格而且價格也十分平易近人請小心使用邊緣破損或表面刮傷會導致玻璃突然破裂應避免碰撞玻璃側面而造成破裂請與當地機關確認產品是否符合辦公室使用的特殊要求環境如果當地機構提供相關服務可進行分類以供回收利用n設計師JohanKroon,咖啡桌,https://www.ikea.com.tw/zh/products/armchairs-footstool-and-sofa-tables/sofa-tables/vittsjo-art-00213313,002.133.13
ADILS黑色實木貼皮梣木白色桌腳黑色產品資訊可混搭桌面和桌腳分開購買創造適合空間的設計和尺寸含可調式桌腳即使地板不平也能穩固放置請用抹布沾溫和清潔劑擦拭乾淨用乾淨的布擦乾你要知道顧客利益實用設計容易組裝VIKA桌面搭配同系列桌腳再加裝合適的EKBY層架組即是一座完整的書桌組合VIKA系列與EKBY系列的風格調性相近無論在外觀和功能方面都能完美搭配你可以在桌面系列區自行混合搭配組合出符合需求和風格的桌子從美觀的餐桌或附抽屜的書桌到小朋友的遊戲桌都行桌面包含不同尺寸形狀及材質以及黑色白色或明亮的顏色讓你挑選你可以加裝固定式可調式桌腳或輪腳也可搭配支架我們的桌面與桌腳有北歐現代和傳統的風格任你自由搭配為能讓你輕鬆組裝專屬的桌子我們在設計桌面時事先在底部鑽孔可使安裝桌腳的工作變得更容易鑽孔位置靠近桌邊可增加桌面下方的空間讓你舒服的擺放伸展腿部或放置抽屜櫃此系列的支架十分穩固不需固定在桌面底下桌面擁有如此實用的細節設計你就能輕鬆打造最適合個人和家庭的桌子創造個人書桌任意搭配創造專屬的桌子組合挑選不同的桌面再搭配喜歡的桌腳或以現有組合打造符合個人和居家空間需求的桌子附桌腳與桌面的連接螺絲適用於厚度25公分以上桌面,桌腳,https://www.ikea.com.tw/zh/products/home-workspace/home-desks/adils-art-00217976,002.179.76
SUMMERA白色6隔層抽屜隔板碳黑色產品資訊可降低音量並保護抽屜免於刮傷可放入大抽屜整齊收納小物品你要知道顧客利益容易裁切成適合大小SUMMERA抽屜隔板可裁切成適合的大小放入GALANTERIKMICKE抽屜櫃或MALM書桌你只要依抽屜尺寸用剪刀將軟質橡膠隔板裁剪成適合的大小就能整齊收納及方便拿取筆或其他配件適用GALANT附輪腳抽屜組以及文件夾用抽屜組可裁切成適合的大小搭配MICKE附輪腳抽屜櫃及ERIK附輪腳抽屜櫃2抽或3抽環境如果當地機構提供相關服務可進行回收利用n設計師IKEAofSweden,6隔層抽屜隔板,https://www.ikea.com.tw/zh/products/complementary-work-items/complementary-work-items/summera-art-00222459,002.224.59
STOLJAN灰色椅框白色產品尺寸可用濕布擦拭乾淨你要知道需搭配STOLJAN座椅設計師HenrikPreutz,椅框,https://www.ikea.com.tw/zh/products/office-workspace/office-chairs/stoljan-art-00227895,002.278.95
GEIR灰色支撐腳產品尺寸請用抹布沾溫和清潔劑擦拭乾淨用乾布擦拭,支撐腳,https://www.ikea.com.tw/zh/products/home-workspace/home-work-chairs/geir-art-00251362,002.513.62
SUMMERA碳黑色懸掛式檔案夾具圖案產品資訊可放A4紙張你要知道適用標準的雙孔固定配件環境如果當地機構提供相關服務可進行回收利用n設計師EvaLiljaLwenhielm,懸掛式檔案夾,https://www.ikea.com.tw/zh/products/complementary-work-items/complementary-work-items/summera-art-00252267,002.522.67
BEKANT米色半圓形桌面用框架黑色產品資訊提供10年品質保證欲知更多細則請參閱品質保證書請用濕布擦拭乾淨定期檢查組裝配件是否牢固必要時請重新鎖緊你要知道顧客利益別錯過購買的機會我們很喜歡BEKANT書桌所以決定更換新的顏色如果你在店內看到喜歡的款式別等太久而錯過購買的機會我們很快會為BEKANT書桌更換新的樣式環境如果當地機構提供相關服務可進行回收利用n設計師KMalmvallELiljaLwenhielm,半圓形桌面用框架,https://www.ikea.com.tw/zh/products/office-workspace/office-desks-and-tables/bekant-art-00252880,002.528.80
